Date : 2020-09-24 16:58:49
Directory : c:\0-zlimbo\study
Total : 177 files,  14632 codes, 23 comments, 3217 blanks, all 17872 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Markdown |        156 |     14,200 |         10 |      3,106 |     17,316 |
| C++      |          6 |        342 |          1 |         82 |        425 |
| Python   |          3 |         62 |         11 |         24 |         97 |
| Rust     |          2 |         12 |          0 |          1 |         13 |
| JSON     |          8 |          8 |          0 |          0 |          8 |
| TOML     |          1 |          6 |          1 |          3 |         10 |
| Makefile |          1 |          2 |          0 |          1 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        177 |     14,632 |         23 |      3,217 |     17,872 |
| algorithm                                                                                                         |         15 |        673 |          1 |        151 |        825 |
| algorithm\cpp                                                                                                     |          7 |        344 |          1 |         83 |        428 |
| cpp                                                                                                               |          4 |         91 |          0 |         49 |        140 |
| daily                                                                                                             |          1 |          6 |          0 |          9 |         15 |
| geometry                                                                                                          |          1 |         13 |          0 |          6 |         19 |
| git                                                                                                               |          1 |         20 |          0 |          8 |         28 |
| js                                                                                                                |          1 |        161 |          0 |         57 |        218 |
| leetcode                                                                                                          |         87 |      8,026 |          0 |      1,443 |      9,469 |
| leetcode\dfa                                                                                                      |          1 |        166 |          0 |         26 |        192 |
| leetcode\dp                                                                                                       |         25 |      2,053 |          0 |        368 |      2,421 |
| leetcode\graph                                                                                                    |         14 |      1,529 |          0 |        259 |      1,788 |
| leetcode\hash                                                                                                     |          4 |        373 |          0 |         58 |        431 |
| leetcode\list                                                                                                     |          1 |         59 |          0 |         13 |         72 |
| leetcode\math                                                                                                     |          6 |        394 |          0 |         86 |        480 |
| leetcode\recursion                                                                                                |          1 |        113 |          0 |         19 |        132 |
| leetcode\search_sort                                                                                              |         11 |      1,077 |          0 |        200 |      1,277 |
| leetcode\shell                                                                                                    |          1 |         46 |          0 |         11 |         57 |
| leetcode\simulate                                                                                                 |          2 |        198 |          0 |         39 |        237 |
| leetcode\sql                                                                                                      |          1 |         32 |          0 |          8 |         40 |
| leetcode\stack_queue                                                                                              |          2 |        121 |          0 |         36 |        157 |
| leetcode\string                                                                                                   |          6 |        798 |          0 |        145 |        943 |
| leetcode\tree                                                                                                     |         12 |      1,067 |          0 |        175 |      1,242 |
| linux                                                                                                             |          7 |        192 |          0 |         89 |        281 |
| math                                                                                                              |          2 |        119 |          0 |         44 |        163 |
